fname,itp,tp_prob,its,ts_prob
20210130225441.000000.GD.HYJ.mseed_39000,[],[],[],[]
20210130225441.000000.GD.GUL.mseed_36000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_12000,[],[],[],[]
20210130225441.000000.GD.DFH.mseed_39000,[],[],[],[]
20210130225441.000000.GD.HEP.mseed_36000,[],[],[],[]
20210130225441.000000.GD.GUL.mseed_39000,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_33000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_15000,[],[],[],[]
20210130225441.000000.GD.XIG.mseed_6000,[956],[0.791771],[1155],[0.937938]
20210124020125.000000.GD.DFH.mseed_6000,[1358],[0.979903],[1573],[0.975715]
20210130225441.000000.GD.HEP.mseed_39000,[],[],[],[]
20210130225441.000000.GD.LVY.mseed_0,[],[],[],[]
20210124020125.000000.GD.BLT.mseed_0,[],[],[],[]
20210130225441.000000.GD.LVY.mseed_3000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_18000,[],[],[],[]
20210130225441.000000.GD.XIG.mseed_9000,[],[],[],[]
20210124020125.000000.GD.BLT.mseed_3000,[],[],[],[]
20210130225441.000000.GD.LVY.mseed_6000,[958],[0.939133],[1165],[0.863423]
20210130225441.000000.GD.DOY.mseed_36000,[],[],[],[]
20210124020125.000000.GD.DFH.mseed_9000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_21000,[1996],[0.903771],[],[]
20210130225441.000000.GD.XIG.mseed_12000,[],[],[],[]
20210124020125.000000.GD.BLT.mseed_6000,[1269],[0.983785],[1422],[0.981334]
20210130225441.000000.GD.LVY.mseed_9000,[],[],[],[]
20210130225441.000000.GD.DOY.mseed_39000,[],[],[],[]
20210124020125.000000.GD.DFH.mseed_12000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_24000,[],[],[],[]
20210130225441.000000.GD.XIG.mseed_15000,[],[],[],[]
20210130225441.000000.GD.LVY.mseed_12000,[],[],[],[]
20210124020125.000000.GD.BLT.mseed_9000,[],[],[],[]
20210130225441.000000.GD.XFJ.mseed_0,[],[],[],[]
20210130225441.000000.GD.YAM.mseed_0,[],[],[],[]
20210130225441.000000.GD.ZHX.mseed_0,[],[],[],[]
20210130225441.000000.GD.LVY.mseed_15000,[],[],[],[]
20210130225441.000000.GD.XIG.mseed_18000,[],[],[],[]
20210130225441.000000.GD.YAM.mseed_3000,[],[],[],[]
20210130225441.000000.GD.LVY.mseed_18000,[],[],[],[]
20210124020125.000000.GD.DFH.mseed_15000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_27000,[],[],[],[]
20210130225441.000000.GD.XIG.mseed_21000,[1493],[0.898943],[],[]
20210124020125.000000.GD.BLT.mseed_12000,[],[],[],[]
20210130225441.000000.GD.YAM.mseed_6000,[975],[0.97832],[1200],[0.982813]
20210130225441.000000.GD.LVY.mseed_21000,[1494],[0.956778],[],[]
20210130225441.000000.GD.XFJ.mseed_3000,[],[],[],[]
20210124020125.000000.GD.DFH.mseed_18000,[],[],[],[]
20210130225441.000000.GD.XIG.mseed_24000,[],[],[],[]
20210130225441.000000.GD.ZHX.mseed_3000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_30000,[],[],[],[]
20210130225441.000000.GD.YAM.mseed_9000,[],[],[],[]
20210130225441.000000.GD.LVY.mseed_24000,[],[],[],[]
20210124020125.000000.GD.BLT.mseed_15000,[],[],[],[]
20210130225441.000000.GD.XFJ.mseed_6000,[1019],[0.482454],[1271],[0.938948]
20210124020125.000000.GD.DFH.mseed_21000,[1494],[0.955804],[],[]
20210130225441.000000.GD.XIG.mseed_27000,[2453],[0.849356],[2655],[0.954858]
20210130225441.000000.GD.LVY.mseed_27000,[2457],[0.94372],[2668],[0.589221]
20210130225441.000000.GD.ZHX.mseed_6000,[958],[0.964169],[1173],[0.925387]
20210130225441.000000.GD.XFJ.mseed_9000,[],[],[],[]
20210124020125.000000.GD.BLT.mseed_18000,[],[],[],[]
20210130225441.000000.GD.LVY.mseed_30000,[],[],[],[]
20210124020125.000000.GD.DFH.mseed_24000,[],[],[],[]
20210130225441.000000.GD.XIG.mseed_30000,[],[],[],[]
20210130225441.000000.GD.ZHX.mseed_9000,[],[],[],[]
20210130225441.000000.GD.QZI.mseed_33000,[],[],[],[]
20210130225441.000000.GD.YAM.mseed_12000,[],[],[],[]
20210124020125.000000.GD.DFH.mseed_27000,[2857],[0.983408],[],[]
20210130225441.000000.GD.XFJ.mseed_12000,[],[],[],[]
20210130225441.000000.GD.XIG.mseed_33000,[],[],[],[]
20210124020125.000000.GD.BLT.mseed_21000,[1494],[0.962814],[],[]
20210130225441.000000.GD.LVY.mseed_33000,[],[],[],[]
